 ,Total,0,1,2,3,4,5,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 o más
01051 Agurain/Salvatierra,"5,022",42,56,54,56,80,71,57,64,59,47,38,60,37,42,44,40,36,25,26,24,23,27,12,18,21,29,20,8,23,14,11,16,11,10,6,8,8,6,1,1,1,2
01001 Alegría-Dulantzi,"2,924",17,21,19,27,32,29,28,13,26,29,23,21,20,11,11,13,14,20,22,6,15,17,11,5,6,6,5,10,9,5,2,5,2,3,2,0,1,1,1,0,0,0
01002 Amurrio,"10,295",93,77,91,104,111,138,150,139,131,146,140,127,128,115,110,104,86,98,92,77,62,61,55,45,60,53,49,44,44,35,34,38,19,18,19,15,7,6,5,3,2,2
01049 Añana,154,0,0,1,0,1,0,3,2,3,1,3,3,3,2,1,2,4,2,0,1,2,1,2,0,1,0,0,1,0,0,2,1,1,0,2,0,0,0,0,0,0,0
01003 Aramaio,"1,456",6,12,11,15,8,13,23,22,17,14,18,18,12,12,17,16,17,13,9,12,10,8,6,13,8,15,7,9,8,3,7,4,5,3,0,2,1,1,1,0,0,0
01006 Armiñón,231,1,0,0,1,1,2,2,0,0,3,2,2,1,2,2,1,0,4,2,2,2,1,0,0,0,1,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0
01037 Arraia-Maeztu,799,6,6,4,10,4,7,11,13,10,8,6,7,10,12,10,11,9,12,5,5,6,8,4,2,6,2,7,3,6,2,6,6,1,0,1,3,2,0,0,0,0,1
01008 Arratzua-Ubarrundia,"1,013",5,8,2,6,6,5,21,12,13,18,18,15,16,13,11,8,5,6,6,6,7,3,4,2,1,3,5,5,3,3,1,3,1,1,1,1,3,0,1,1,0,0
01004 Artziniega,"1,806",15,15,16,15,23,23,20,19,31,18,20,16,17,16,16,12,9,11,8,6,9,9,5,4,5,13,3,13,5,9,7,6,5,6,3,4,2,3,1,1,2,2
01009 Asparrena,"1,633",2,16,14,8,11,18,23,16,15,24,16,13,23,12,16,12,14,11,10,7,8,8,8,10,10,11,9,7,10,5,7,5,5,2,3,3,1,2,0,2,0,1
01010 Ayala/Aiara,"2,950",25,17,21,25,29,37,33,23,24,26,17,25,26,29,20,26,30,22,21,14,19,14,14,12,15,19,14,14,11,14,7,18,5,4,6,4,3,1,0,0,0,0
01011 Baños de Ebro/Mañueta,286,0,0,1,0,1,1,8,1,0,5,9,2,2,1,3,5,3,4,6,1,2,4,1,4,2,0,0,4,2,2,2,1,3,0,0,0,1,0,0,0,0,0
01013 Barrundia,891,6,4,4,5,5,9,10,12,8,16,9,5,6,15,8,9,8,8,7,10,3,6,3,3,2,6,3,5,2,5,5,5,1,2,0,1,1,0,0,0,0,1
01014 Berantevilla,462,3,1,4,2,4,4,2,2,5,7,4,4,13,4,5,5,7,9,10,2,11,5,6,3,2,5,9,2,2,2,2,1,3,0,0,0,0,0,0,0,0,0
01016 Bernedo,539,3,3,3,1,4,1,11,6,7,7,4,8,5,8,10,7,10,5,3,5,6,4,1,4,4,0,3,8,2,2,3,5,2,2,0,2,2,0,0,0,0,1
01017 Campezo/Kanpezu,"1,080",9,3,8,11,3,10,15,16,12,15,18,11,16,7,11,10,13,7,6,9,9,9,9,2,4,16,4,8,8,2,5,3,4,5,2,0,0,0,1,0,1,0
01021 Elburgo/Burgelu,633,4,5,2,6,6,7,8,7,10,6,6,8,4,11,2,5,2,1,0,3,1,1,0,2,2,3,1,0,0,0,3,0,2,0,0,1,2,1,0,0,0,0
01022 Elciego,997,5,8,10,15,9,9,10,12,10,11,15,12,11,12,13,10,11,10,8,8,9,7,5,8,7,10,4,7,5,5,3,1,5,1,2,0,1,0,1,0,0,0
01023 Elvillar/Bilar,325,2,0,2,4,2,3,4,3,4,4,4,3,6,4,6,3,5,3,6,1,1,1,2,1,3,2,1,3,3,3,1,2,1,2,1,1,2,1,0,0,0,0
01047 Erriberabeitia,"1,413",8,12,5,6,7,16,20,14,8,10,9,14,9,10,10,3,7,7,8,7,5,6,2,3,6,8,4,6,8,6,2,5,2,1,4,1,1,0,1,0,0,1
01046 Erriberagoitia/Ribera Alta,829,1,3,2,4,3,11,13,12,6,6,10,9,9,6,4,7,5,5,7,3,5,7,2,4,7,5,3,4,3,2,2,4,1,4,3,0,0,2,2,0,0,0
01056 Harana/Valle de Arana,226,1,1,0,0,1,0,1,2,2,2,3,3,3,3,2,5,3,3,4,2,3,3,1,5,4,5,2,4,2,1,1,1,6,3,2,2,1,0,1,0,0,0
01901 Iruña Oka/Iruña de Oca,"3,471",22,23,26,21,30,38,25,23,39,31,21,19,22,20,19,18,21,13,16,15,10,15,9,10,13,10,9,9,8,5,4,9,3,7,4,1,3,1,1,1,0,0
01027 Iruraiz-Gauna,530,4,1,0,1,3,6,3,8,5,8,4,7,3,2,1,7,4,7,4,4,6,2,1,2,2,0,2,3,2,1,4,0,1,1,0,1,0,0,1,0,0,0
01019 Kripan,175,0,0,0,0,0,2,2,2,2,2,4,2,2,4,0,0,2,3,4,0,3,1,2,1,0,2,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0
01020 Kuartango,395,5,6,2,4,6,5,12,6,7,5,5,4,5,4,4,2,3,2,0,0,4,3,2,8,1,3,3,6,4,1,1,2,1,1,1,2,0,0,0,1,0,0
01028 Labastida/Bastida,"1,529",10,16,20,11,16,15,22,21,20,21,19,10,22,22,15,12,13,11,8,9,5,9,10,11,7,7,8,7,6,6,5,4,2,3,0,1,1,1,1,1,0,1
